YEAR_MONTH,SIDO,TARGET_COUNT,TEMP_AVG,TEMP_MAX,HUMIDITY,RAIN,THI,CPI_AGRI,CPI_TOTAL,RESTAURANT_DENSITY,VIOLATION_RATE,TARGET
2024-11,경상북도,7.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,54980,0.12731902510003637,0
2024-11,충청남도,3.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,42097,0.0712639855571656,0
2024-11,충청북도,0.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,31440,0.0,0
2024-11,전북특별자치도,153.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,31373,4.87680489592962,1
2024-11,전라남도,3.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,37127,0.08080372774530666,0
2024-11,세종특별자치시,1.0,10.08730810249118,25.5,71.56051190899396,73.0721649484536,51.50983011087168,119.0,114.4,4829,0.2070822116380203,1
2024-12,대전광역시,2.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,23164,0.08634087376964256,0
2024-12,강원특별자치도,1.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,43926,0.02276556026043801,0
2024-12,대구광역시,5.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,37976,0.13166210238045079,0
2024-12,제주특별자치도,0.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,24251,0.0,0
2024-12,울산광역시,0.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,19964,0.0,0
2024-12,경상남도,18.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,67454,0.26684851899071965,1
2024-12,경기도,43.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,183285,0.23460730556237555,1
2024-12,부산광역시,5.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,55922,0.08941024999105898,0
2024-12,인천광역시,4.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,41726,0.09586349038968509,0
2024-12,서울특별시,10.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,138619,0.07214018280322322,0
2024-12,광주광역시,5.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,22065,0.22660321776569228,1
2024-12,경상북도,5.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,54980,0.09094216078574027,0
2024-12,충청남도,15.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,42097,0.35631992778582794,1
2024-12,충청북도,2.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,31440,0.06361323155216285,0
2024-12,전북특별자치도,1.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,31373,0.031874541803461574,0
2024-12,전라남도,2.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,37127,0.05386915183020443,0
2024-12,세종특별자치시,0.0,2.2596239726352794,20.9,60.05477488345,8.16082474226804,40.892561338146805,122.32,114.91,4829,0.0,0
2025-01,대전광역시,0.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,23164,0.0,0
2025-01,강원특별자치도,0.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,43926,0.0,0
2025-01,대구광역시,9.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,37976,0.23699178428481144,1
2025-01,제주특별자치도,2.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,24251,0.08247082594532185,0
2025-01,울산광역시,3.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,19964,0.15027048687637748,0
2025-01,경상남도,20.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,67454,0.29649835443413286,1
2025-01,경기도,37.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,183285,0.20187140246064872,1
2025-01,부산광역시,5.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,55922,0.08941024999105898,0
2025-01,인천광역시,1.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,41726,0.02396587259742127,0
2025-01,서울특별시,9.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,138619,0.0649261645229009,0
2025-01,광주광역시,1.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,22065,0.04532064355313845,0
2025-01,경상북도,2.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,54980,0.03637686431429611,0
2025-01,충청남도,20.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,42097,0.4750932370477706,1
2025-01,충청북도,0.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,31440,0.0,0
2025-01,전북특별자치도,0.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,31373,0.0,0
2025-01,전라남도,0.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,37127,0.0,0
2025-01,세종특별자치시,0.0,0.2402023483666317,16.0,63.17346673264887,17.656701030927834,37.60077504162818,125.01,115.71,4829,0.0,0
2025-02,대전광역시,0.0,-0.10222297748070941,20.3,56.439862237800384,20.790721649484535,38.141470081779424,127.19,116.08,23164,0.0,0
2025-02,강원특별자치도,3.0,-0.10222297748070941,20.3,56.439862237800384,20.790721649484535,38.141470081779424,127.19,116.08,43926,0.06829668078131403,0
2025-02,대구광역시,0.0,-0.10222297748070941,20.3,56.439862237800384,20.790721649484535,38.141470081779424,127.19,116.08,37976,0.0,0
2025-02,제주특별자치도,0.0,-0.10222297748070941,20.3,56.439862237800384,20.790721649484535,38.141470081779424,127.19,116.08,24251,0.0,0
2025-02,울산광역시,0.0,-0.10222297748070941,20.3,56.439862237800384,20.790721649484535,38.141470081779424,127.19,116.08,19964,0.0,0
