YEAR_MONTH,SIDO,TARGET_COUNT,RESTAURANT_DENSITY,VIOLATION_RATE,CPI_TOTAL,THI,RATE_SCORE,RATE_TREND,TREND_SCORE,CPI_PRESSURE_SCORE,HOTSPOT_REPEAT_COUNT_3M,HOTSPOT_REPEAT_SCORE,CLIMATE_CAUTION_FLAG,FSIPI,FSIPI_GRADE,TARGET
2026-01,경기도,9.0,183285,0.0491038546525902,118.03,37.281032920297086,44.50127877237852,-0.32990677040859984,42.19948849104859,89.25831202046037,0.0,0.0,0,46.30434782608696,3등급·관찰,0
2024-12,서울특별시,10.0,138619,0.0721401828032232,114.91,40.892561338146805,55.49872122762148,-0.05531192190399121,53.70843989769821,32.73657289002558,0.0,0.0,0,46.1764705882353,3등급·관찰,0
2025-10,인천광역시,2.0,41726,0.0479317451948425,117.42,62.1988525681886,43.8618925831202,-0.2161746172087966,47.570332480818415,80.56265984654732,0.0,0.0,1,45.72250639386189,3등급·관찰,0
2026-02,광주광역시,1.0,22065,0.0453206435531384,118.4,42.12641637472754,40.92071611253197,-0.8805702181368112,11.76470588235294,93.60613810741688,2.0,66.66666666666666,0,45.56692242114237,3등급·관찰,0
2024-05,제주특별자치도,2.0,24251,0.0824708259453218,114.1,62.72419013774592,58.95140664961637,0.0,59.46291560102301,6.649616368286446,0.0,0.0,0,45.313299232736576,3등급·관찰,0
2025-06,제주특별자치도,1.0,24251,0.0412354129726609,116.31,70.97058460731459,37.59590792838875,1.1577222971525818,82.22506393861893,54.47570332480819,0.0,0.0,0,45.294117647058826,3등급·관찰,0
2025-08,경상북도,3.0,54980,0.0545652964714441,116.45,78.49616926828206,48.46547314578005,-0.27304872554507365,45.012787723785166,63.171355498721226,0.0,0.0,1,45.134271099744254,3등급·관찰,0
2024-11,전라남도,3.0,37127,0.0808037277453066,114.4,51.50983011087168,58.31202046035806,-0.08997814430874776,52.94117647058824,15.34526854219949,0.0,0.0,0,44.96163682864451,3등급·관찰,0
2025-01,서울특별시,9.0,138619,0.0649261645229009,115.71,37.60077504162818,52.17391304347826,-0.06031623197260915,53.452685421994886,37.084398976982094,0.0,0.0,0,44.948849104859335,3등급·관찰,0
2025-03,경상북도,3.0,54980,0.0545652964714441,116.29,48.30477583011704,48.46547314578005,-0.45802925280161266,36.828644501278774,50.127877237851656,1.0,33.33333333333333,0,44.874254049445874,3등급·관찰,0
2025-12,전라남도,2.0,37127,0.0538691518302044,117.57,41.42148908059404,47.31457800511509,-0.5843234206760505,29.923273657289002,84.91048593350384,0.0,0.0,0,44.74424552429668,3등급·관찰,0
2025-08,전라남도,2.0,37127,0.0538691518302044,116.45,78.49616926828206,47.31457800511509,-0.2966241208802616,44.24552429667519,63.171355498721226,0.0,0.0,1,44.347826086956516,3등급·관찰,0
2025-04,서울특별시,8.0,138619,0.0577121462425785,116.38,56.031464941879086,49.232736572890026,-0.3320795748053129,41.94373401534527,58.82352941176471,0.0,0.0,0,44.290281329923275,3등급·관찰,0
2025-04,대전광역시,1.0,23164,0.0431704368848212,116.38,56.031464941879086,38.87468030690537,0.37106852893592257,70.076726342711,58.82352941176471,0.0,0.0,0,44.21994884910487,3등급·관찰,0
2024-12,충청북도,2.0,31440,0.0636132315521628,114.91,40.892561338146805,51.406649616368284,-5.655690226551416e-16,54.73145780051151,32.73657289002558,0.0,0.0,0,44.130434782608695,3등급·관찰,0
